Art,Fpl-Nr,Polygon,Strecke
Fläche,3,1,118
Fläche,4,2,230
Fläche,4,3,460
Fläche,4,4,158
Fläche,4,5,228
Fläche,5,6,228
Fläche,6,7,297
Fläche,7,8,41
Fläche,8,9,31
Fläche,9,10,25
Fläche,10,11,993
Fläche,11,12,147
Fläche,12,13,214
Fläche,12,14,17
Fläche,13,15,37
Fläche,14,16,31
Fläche,15,17,86
Fläche,16,18,36
Fläche,18,19,415
Fläche,20,20,81
Fläche,22,21,22
Fläche,24-26,22,296
Fläche,27-28,23,546
Fläche,29,23,358
Fläche,30,24,240
Fläche,31,25,185
Fläche,33,26,153
Fläche,35,27,443
Fläche,36,28,42
Fläche,39,29,32
Fläche,40,30,60
Fläche,42,31,189
Fläche,44-45,32,343
Fläche,46,33,87
Fläche,48,34,239
Fläche,49-50,35,328
Fläche,51,36,200
Fläche,52,37,347
Entfernung,3-4,1-2,59
Entfernung,4-4,2-3,46
Entfernung,4-4,3-4,9
Entfernung,4-4,3-5,62
Entfernung,4-5,3-6,31
Entfernung,5-6,6-7,27
Entfernung,6-7,7-8,109
Entfernung,6-8,7-9,102
Entfernung,8-9,9-10,72
Entfernung,9-10,10-11,67
Entfernung,10-11,11-12,124
Entfernung,11-12,12-13,65
Entfernung,12-12,13-14,4
Entfernung,12-13,13-15,79
Entfernung,13-14,15-16,65
Entfernung,12-15,13-17,118
Entfernung,15-16,17-18,188
Entfernung,16-18,18-19,457
Entfernung,18-20,19-20,248
Entfernung,20-22,20-21,85
Entfernung,20-24,20-22,278
Entfernung,26-27,22-23,112
Entfernung,28-29,23,0
Entfernung,29-30,23-24,132
Entfernung,30-31,24-25,290
Entfernung,31-33,25-26,215
Entfernung,33-35,26-27,709
Entfernung,35-36,27-28,185
Entfernung,35-39,27-29,627
Entfernung,39-40,29-30,10
Entfernung,40-42,30-31,318
Entfernung,42-44,31-32,1040
Entfernung,45-46,32-33,23
Entfernung,46-48,33-34,179
Entfernung,48-49,34-35,88
Entfernung,50-51,35-36,85
Entfernung,51-52,36-37,37
