geometry_p-key,befundnummer,befund_id,flaeche_id,befundtyp,befundart,epoche,abschnitt,kultur,dgm10doarf,Hoehe-ueber-tiefenlinie,neigung,az,aepot,bodenklasse,bodentyp,area,X,Y
2980,424012,7703,420000,Graben,unklar,undat.,,,"85,47101","0,88306","1,15567",93,5,Schwarzerden,Tschernosem,"15,088","4497973,01000","5733603,26000"
2972,424004,9245,420000,Grube,Siedlung,undat.,,,"85,69926","0,96189","1,10007",93,5,Schwarzerden,Tschernosem,"0,789","4497988,69800","5733596,59600"
2973,424005,9246,420000,Grube,Siedlung,undat.,,,"85,69926","0,96189","1,15567",93,5,Schwarzerden,Tschernosem,"0,764","4497989,21700","5733600,49800"
2974,424006,9247,420000,Grube,Siedlung,undat.,,,"85,69926","0,96189","1,15567",93,5,Schwarzerden,Tschernosem,"1,852","4497985,40900","5733604,37900"
2975,424007,9248,420000,Grube,Siedlung,Eisenzeit,aelter,,"85,25210","0,66038","1,15567",93,5,Schwarzerden,Tschernosem,"2,098","4497980,37900","5733605,73100"
2976,424008,9249,420000,Grube,Siedlung,undat.,,,"85,25210","0,66038","1,15567",93,5,Schwarzerden,Tschernosem,"0,666","4497978,83800","5733607,24500"
2977,424009,9250,420000,Grube,Siedlung,undat.,,,"85,31639","0,64670","1,15567",93,5,Schwarzerden,Tschernosem,"2,855","4497986,49500","5733614,58700"
2978,424010,9251,420000,Grube,Siedlung,undat.,,,"85,13200","0,61695","1,15567",93,5,Schwarzerden,Tschernosem,"0,121","4497972,01000","5733610,22100"
2979,424011,9254,420000,Grube,Siedlung,undat.,,,"85,47101","0,88306","1,15567",93,5,Schwarzerden,Tschernosem,"10,201","4497967,47900","5733601,02500"
2981,424013,9255,420000,Grube,Siedlung,Eisenzeit,aelter,,"84,99392","0,55389","1,15567",93,5,Schwarzerden,Tschernosem,"0,789","4497963,70200","5733614,25500"
2982,424014,9256,420000,Grube,Siedlung,undat.,,,"84,59114","0,29607","1,21659",93,5,Schwarzerden,Tschernosem,"0,256","4497953,53000","5733611,51600"
2987,424024,9259,420000,Grube,Siedlung,undat.,,,"85,60380","0,94139","1,10007",93,5,Schwarzerden,Tschernosem,"0,674","4497979,62400","5733598,73800"
4935,1432,18147,520000,Grube,Siedlung,undat.,,,"85,49645","1,33741","0,53176",56,5,Schwarzerden,Braunerde-Tschernosem,"0,572","4500730,37100","5733287,82100"
4938,1431,18150,520000,Grube,Siedlung,undat.,,,"85,49645","1,33741","0,53176",56,5,Schwarzerden,Braunerde-Tschernosem,"2,154","4500733,70300","5733294,69400"
3725,1780,16937,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,178","4500911,52700","5733434,48200"
3725,1780,16937,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,178","4500911,52700","5733434,48200"
3726,1781,16938,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,727","4500906,76400","5733434,79100"
3726,1781,16938,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,727","4500906,76400","5733434,79100"
3772,1754,16984,520000,Grube,Siedlung,undat.,,,"84,08846","0,81764","0,30129",62,3,Stauwasserbden,Humuspseudogley,"0,912","4500832,47600","5733371,08600"
3811,1379,17023,520000,Graben,unklar,Bronzezeit,spaet,,"84,10275","1,09832","0,36725",62,3,Stauwasserbden,Humuspseudogley,"1,469","4500852,67300","5733412,07800"
3811,1379,17023,520000,Graben,unklar,Eisenzeit,,,"84,10275","1,09832","0,36725",62,3,Stauwasserbden,Humuspseudogley,"1,469","4500852,67300","5733412,07800"
3812,1342,17024,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,86966","1,19242","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,326","4500919,69100","5733409,11600"
3812,1342,17024,520000,Grube,Siedlung,Eisenzeit,,,"83,86966","1,19242","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,326","4500919,69100","5733409,11600"
3815,1343,17027,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,86966","1,19242","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,219","4500918,40700","5733409,75200"
3816,1344,17028,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,86966","1,19242","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,289","4500918,04600","5733408,56700"
3817,1345,17029,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,86966","1,19242","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,090","4500917,86800","5733406,96100"
3818,1346,17030,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,010","4500915,15300","5733404,50700"
3819,1347,17031,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,393","4500917,90700","5733404,00100"
3867,1364,17079,520000,Ofen,Siedlung,Neolithikum,spaet,Schnurkeramik,"83,99473","1,01889","0,42876",62,3,Stauwasserbden,Humuspseudogley,"40,135","4500874,65600","5733404,89100"
3878,1768,17090,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,86966","1,19242","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,326","4500923,54800","5733414,12300"
3878,1768,17090,520000,Grube,Siedlung,Eisenzeit,,,"83,86966","1,19242","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,326","4500923,54800","5733414,12300"
3879,1769,17091,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,83661","1,21792","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,971","4500916,63000","5733421,02800"
3879,1769,17091,520000,Grube,Siedlung,Eisenzeit,,,"83,83661","1,21792","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,971","4500916,63000","5733421,02800"
3880,1763,17092,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,86966","1,19242","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,092","4500921,36100","5733407,37300"
3880,1763,17092,520000,Grube,Siedlung,Eisenzeit,,,"83,86966","1,19242","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,092","4500921,36100","5733407,37300"
3881,1766,17093,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,73919","1,16997","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,322","4500925,01900","5733418,46700"
3881,1766,17093,520000,Grube,Siedlung,Eisenzeit,,,"83,73919","1,16997","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,322","4500925,01900","5733418,46700"
3882,1767,17094,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,922","4500923,81200","5733417,27700"
3882,1767,17094,520000,Grube,Siedlung,Eisenzeit,,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,922","4500923,81200","5733417,27700"
3883,1764,17095,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,863","4500923,58000","5733415,18800"
3883,1764,17095,520000,Grube,Siedlung,Eisenzeit,,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,863","4500923,58000","5733415,18800"
3884,1765,17096,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,008","4500923,46600","5733419,17100"
3884,1765,17096,520000,Grube,Siedlung,Eisenzeit,,,"83,83661","1,21792","0,91693",62,3,Stauwasserbden,Humuspseudogley,"1,008","4500923,46600","5733419,17100"
3909,1782,17121,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,336","4500909,45000","5733434,74500"
3909,1782,17121,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,336","4500909,45000","5733434,74500"
3910,1783,17122,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,117","4500908,71700","5733432,78300"
3910,1783,17122,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,117","4500908,71700","5733432,78300"
3911,1784,17123,520000,Pfostengrube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,076","4500908,07100","5733434,42600"
3911,1784,17123,520000,Pfostengrube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,076","4500908,07100","5733434,42600"
3913,1787,17125,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,88379","1,03570","0,48526",62,3,Stauwasserbden,Humuspseudogley,"0,939","4500914,08500","5733394,84300"
3913,1787,17125,520000,Grube,Siedlung,Eisenzeit,,,"83,88379","1,03570","0,48526",62,3,Stauwasserbden,Humuspseudogley,"0,939","4500914,08500","5733394,84300"
3928,1383,17140,520000,Grube,Siedlung,Eisenzeit,aelter,,"84,10275","1,09832","0,36725",62,3,Stauwasserbden,Humuspseudogley,"2,166","4500851,50500","5733408,70300"
3922,1384,17134,520000,Grube,Siedlung,undat.,,,"84,10275","1,09832","0,36725",62,3,Stauwasserbden,Humuspseudogley,"0,564","4500854,72200","5733410,17300"
3923,1385,17135,520000,Pfostengrube,Siedlung,undat.,,,"84,06018","1,09972","0,36725",62,3,Stauwasserbden,Humuspseudogley,"0,154","4500855,97900","5733408,86500"
3924,1386,17136,520000,Pfostengrube,Siedlung,undat.,,,"84,06018","1,09972","0,42876",62,3,Stauwasserbden,Humuspseudogley,"0,125","4500863,21000","5733411,45000"
3927,1382,17139,520000,Grube,Siedlung,Eisenzeit,aelter,,"84,10275","1,09832","0,36725",62,3,Stauwasserbden,Humuspseudogley,"1,115","4500851,09900","5733410,45800"
3965,1841,17177,520000,Grube,Siedlung,undat.,,,"84,08846","0,81764","0,30129",62,3,Stauwasserbden,Humuspseudogley,"0,912","4500832,19900","5733371,46300"
3994,1775,17206,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,109","4500911,13400","5733431,49700"
3994,1775,17206,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,109","4500911,13400","5733431,49700"
3995,1774,17207,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,158","4500914,41100","5733432,70300"
3995,1774,17207,520000,Grube,Siedlung,Eisenzeit,,,"83,81129","1,20138","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,158","4500914,41100","5733432,70300"
3996,1771,17208,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,83661","1,21792","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,129","4500919,43000","5733423,77900"
3997,1770,17209,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,83661","1,21792","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,066","4500918,75500","5733421,96900"
3997,1770,17209,520000,Grube,Siedlung,Eisenzeit,,,"83,83661","1,21792","1,24412",62,3,Stauwasserbden,Humuspseudogley,"1,066","4500918,75500","5733421,96900"
3998,1773,17210,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,75210","1,19093","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,945","4500916,67400","5733428,73300"
3998,1773,17210,520000,Grube,Siedlung,Eisenzeit,,,"83,75210","1,19093","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,945","4500916,67400","5733428,73300"
3999,1772,17211,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,75210","1,19093","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,633","4500915,03100","5733427,10800"
3999,1772,17211,520000,Grube,Siedlung,Eisenzeit,,,"83,75210","1,19093","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,633","4500915,03100","5733427,10800"
4000,1779,17212,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,87621","1,21807","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,971","4500904,32700","5733434,07200"
4000,1779,17212,520000,Grube,Siedlung,Eisenzeit,,,"83,87621","1,21807","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,971","4500904,32700","5733434,07200"
4001,1778,17213,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,76766","1,16628","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,873","4500903,03400","5733435,07800"
4001,1778,17213,520000,Grube,Siedlung,Eisenzeit,,,"83,76766","1,16628","1,24412",62,3,Stauwasserbden,Humuspseudogley,"0,873","4500903,03400","5733435,07800"
4082,1396,17294,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,89961","1,11304","0,48526",62,3,Stauwasserbden,Humuspseudogley,"4,959","4500914,43800","5733397,05700"
4082,1396,17294,520000,Grube,Siedlung,Eisenzeit,,,"83,89961","1,11304","0,48526",62,3,Stauwasserbden,Humuspseudogley,"4,959","4500914,43800","5733397,05700"
4085,1395,17297,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,559","4500916,05200","5733400,21900"
4085,1395,17297,520000,Grube,Siedlung,Eisenzeit,,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,559","4500916,05200","5733400,21900"
4086,1700,17298,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"10,088","4500847,15700","5733374,09400"
4086,1700,17298,520000,Grube,Siedlung,Eisenzeit,,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"10,088","4500847,15700","5733374,09400"
4087,1701,17299,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"0,270","4500849,22800","5733374,04200"
4087,1701,17299,520000,Grube,Siedlung,Eisenzeit,,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"0,270","4500849,22800","5733374,04200"
4088,1702,17300,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"0,199","4500848,14100","5733372,94900"
4088,1702,17300,520000,Grube,Siedlung,Eisenzeit,,,"84,02449","0,83566","0,24635",62,3,Stauwasserbden,Humuspseudogley,"0,199","4500848,14100","5733372,94900"
4089,1704,17301,520000,Graben,unklar,undat.,,,"84,05922","0,82874","0,25034",62,3,Stauwasserbden,Humuspseudogley,"1,092","4500839,03000","5733381,05600"
4090,1707,17302,520000,Pfostengrube,Siedlung,Bronzezeit,spaet,,"84,12433","0,91569","0,25034",62,3,Stauwasserbden,Humuspseudogley,"0,148","4500828,35000","5733394,38900"
4090,1707,17302,520000,Pfostengrube,Siedlung,Eisenzeit,,,"84,12433","0,91569","0,25034",62,3,Stauwasserbden,Humuspseudogley,"0,148","4500828,35000","5733394,38900"
4091,1708,17303,520000,Pfostengrube,Siedlung,Bronzezeit,spaet,,"84,12433","0,91569","0,25034",62,3,Stauwasserbden,Humuspseudogley,"0,182","4500825,76100","5733394,45400"
4091,1708,17303,520000,Pfostengrube,Siedlung,Eisenzeit,,,"84,12433","0,91569","0,25034",62,3,Stauwasserbden,Humuspseudogley,"0,182","4500825,76100","5733394,45400"
4093,1391,17305,520000,Pfostengrube,Siedlung,undat.,,,"83,93761","0,94554","0,18210",62,3,Stauwasserbden,Humuspseudogley,"0,102","4500879,15700","5733392,18500"
4157,939,17369,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,97524","1,04522","0,52134",62,3,Stauwasserbden,Humuspseudogley,"0,789","4500885,31700","5733403,09800"
4158,938,17370,520000,Pfostengrube,Siedlung,Bronzezeit,spaet,,"83,97524","1,04522","0,52134",62,3,Stauwasserbden,Humuspseudogley,"0,092","4500886,21500","5733402,93400"
4158,938,17370,520000,Pfostengrube,Siedlung,Eisenzeit,,,"83,97524","1,04522","0,52134",62,3,Stauwasserbden,Humuspseudogley,"0,092","4500886,21500","5733402,93400"
4159,933,17371,520000,Grube,Siedlung,Eisenzeit,aelter,,"84,08071","1,01648","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,535","4500851,14000","5733395,70300"
4160,932,17372,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,12258","1,01582","0,21125",62,3,Stauwasserbden,Humuspseudogley,"2,301","4500844,82800","5733398,12300"
4160,932,17372,520000,Grube,Siedlung,Eisenzeit,,,"84,12258","1,01582","0,21125",62,3,Stauwasserbden,Humuspseudogley,"2,301","4500844,82800","5733398,12300"
4161,931,17373,520000,Grube,Siedlung,undat.,,,"84,12258","1,01582","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,514","4500843,11600","5733396,35600"
4162,930,17374,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,08071","1,01648","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,303","4500848,19700","5733397,12300"
4162,930,17374,520000,Grube,Siedlung,Eisenzeit,,,"84,08071","1,01648","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,303","4500848,19700","5733397,12300"
4163,937,17375,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,08071","1,01648","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,080","4500849,54600","5733399,01400"
4163,937,17375,520000,Grube,Siedlung,Eisenzeit,,,"84,08071","1,01648","0,21125",62,3,Stauwasserbden,Humuspseudogley,"1,080","4500849,54600","5733399,01400"
4164,936,17376,520000,Grube,Siedlung,undat.,,,"84,08427","0,91651","0,21125",62,3,Stauwasserbden,Humuspseudogley,"0,756","4500844,32500","5733387,54200"
4165,934,17377,520000,Grube,Siedlung,undat.,,,"84,12258","1,01582","0,25034",62,3,Stauwasserbden,Humuspseudogley,"0,930","4500837,24000","5733395,45500"
4265,928,17477,520000,Grube,Siedlung,undat.,,,"84,08427","0,91651","0,21125",62,3,Stauwasserbden,Humuspseudogley,"0,586","4500842,67000","5733391,71900"
4266,920,17478,520000,Pfostengrube,Siedlung,undat.,,,"83,98192","0,83607","0,21125",62,3,Stauwasserbden,Humuspseudogley,"0,141","4500857,54000","5733383,72100"
4267,925,17479,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,12258","1,01582","0,21125",62,3,Stauwasserbden,Humuspseudogley,"0,607","4500842,60300","5733398,15900"
4267,925,17479,520000,Grube,Siedlung,Eisenzeit,,,"84,12258","1,01582","0,21125",62,3,Stauwasserbden,Humuspseudogley,"0,607","4500842,60300","5733398,15900"
4329,1394,17541,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,770","4500918,84300","5733401,85800"
4345,1897,17557,520000,Grube,Siedlung,Eisenzeit,aelter,,"83,87491","1,13794","0,63513",62,3,Stauwasserbden,Humuspseudogley,"1,770","4500918,73000","5733401,97900"
4346,1393,17558,520000,Grube,Siedlung,Bronzezeit,spaet,,"83,87491","1,13794","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,969","4500920,12300","5733404,66100"
4346,1393,17558,520000,Grube,Siedlung,Eisenzeit,,,"83,87491","1,13794","0,91693",62,3,Stauwasserbden,Humuspseudogley,"0,969","4500920,12300","5733404,66100"
