"";"geometry_p.key";"befundnummer";"befund_id";"flaeche_id";"befundtyp";"befundart";"epoche";"abschnitt";"kultur";"dgm10doarf";"Hoehe.ueber.tiefenlinie";"neigung";"az";"aepot";"bodenklasse";"bodentyp";"area";"X";"Y"
"1";2980;424012;7703;420000;"Graben";"unklar";"undat.";NA;NA;85,47101;0,88306;1,15567;93;5;"Schwarzerden";"Tschernosem";15,088;4497973,01;5733603,26
"2";2972;424004;9245;420000;"Grube";"Siedlung";"undat.";NA;NA;85,69926;0,96189;1,10007;93;5;"Schwarzerden";"Tschernosem";0,789;4497988,698;5733596,596
"3";2973;424005;9246;420000;"Grube";"Siedlung";"undat.";NA;NA;85,69926;0,96189;1,15567;93;5;"Schwarzerden";"Tschernosem";0,764;4497989,217;5733600,498
"4";2974;424006;9247;420000;"Grube";"Siedlung";"undat.";NA;NA;85,69926;0,96189;1,15567;93;5;"Schwarzerden";"Tschernosem";1,852;4497985,409;5733604,379
"5";2975;424007;9248;420000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";85,2521;0,66038;1,15567;93;5;"Schwarzerden";"Tschernosem";2,098;4497980,379;5733605,731
"6";2976;424008;9249;420000;"Grube";"Siedlung";"undat.";NA;NA;85,2521;0,66038;1,15567;93;5;"Schwarzerden";"Tschernosem";0,666;4497978,838;5733607,245
"7";2977;424009;9250;420000;"Grube";"Siedlung";"undat.";NA;NA;85,31639;0,6467;1,15567;93;5;"Schwarzerden";"Tschernosem";2,855;4497986,495;5733614,587
"8";2978;424010;9251;420000;"Grube";"Siedlung";"undat.";NA;NA;85,132;0,61695;1,15567;93;5;"Schwarzerden";"Tschernosem";0,121;4497972,01;5733610,221
"9";2979;424011;9254;420000;"Grube";"Siedlung";"undat.";NA;NA;85,47101;0,88306;1,15567;93;5;"Schwarzerden";"Tschernosem";10,201;4497967,479;5733601,025
"10";2981;424013;9255;420000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";84,99392;0,55389;1,15567;93;5;"Schwarzerden";"Tschernosem";0,789;4497963,702;5733614,255
"11";2982;424014;9256;420000;"Grube";"Siedlung";"undat.";NA;NA;84,59114;0,29607;1,21659;93;5;"Schwarzerden";"Tschernosem";0,256;4497953,53;5733611,516
