X,Y,bemerkung,befundtyp,geometry_p,befundnumm,flaeche_id,befundart,befundtyp2,befund_id,kultur,abschnitt,epoche,bs_AZ,BOARTSTDKL,Bodenklass,BodTyp_T,AEPOT_K,bofu_AZ,reclass_ex,dgm10doarf,hoehe_uebe,neig20,X,Y
4500726.9588912707,5733337.1816,,Grube,3701,345,520000,Siedlung,Grube,16913,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.85571,1.01581,0.51175,4500726.958891270700000,5733337.181599999800000
4500738.3139093537,5733325.127099999,,Grube,3702,346,520000,Siedlung,Grube,16914,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.78758,0.91047,0.51175,4500738.313909353700000,5733325.127099999200000
4500742.6663631359,5733325.34815,,Graben,3703,348,520000,unklar,Graben,16915,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.78758,0.91047,0.68539,4500742.666363135900000,5733325.348150000900000
4500742.6663631359,5733325.34815,,Graben,3703,348,520000,unklar,Graben,16915,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.78758,0.91047,0.68539,4500742.666363135900000,5733325.348150000900000
4500745.3103220146,5733317.0223499993,,Grube,3704,349,520000,Siedlung,Grube,16916,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.71825,0.80146,0.68539,4500745.310322014600000,5733317.022349999300000
4500745.3103220146,5733317.0223499993,,Grube,3704,349,520000,Siedlung,Grube,16916,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.71825,0.80146,0.68539,4500745.310322014600000,5733317.022349999300000
4500667.7498109434,5733346.7870358769,,Pfostengrube,3705,298,520000,Siedlung,Pfostengrube,16917,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.47981,1.56252,0.38882,4500667.749810943400000,5733346.787035876900000
4500669.1792199509,5733345.7198258564,"Dat. Unsicher, eventuell auch Segment der vorhergehenden Anlage!",sonstiger Befund,3706,299,520000,unklar,sonstiger Befund,16918,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.47981,1.56252,0.38882,4500669.179219950900000,5733345.719825856400000
4500665.7658618465,5733342.6227,,Pfostengrube,3707,296,520000,Siedlung,Pfostengrube,16919,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.55692,1.58382,0.38882,4500665.765861846500000,5733342.622700000200000
4500666.5665465426,5733342.66975,,Pfostengrube,3708,297,520000,Siedlung,Pfostengrube,16920,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.55692,1.58382,0.38882,4500666.566546542600000,5733342.669750000400000
